Type,IP Address/Domain,Source
Callback Domains,ldap://1fd8e7dfffef.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://cb322b88c2ea.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://05c684d21698.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://40565954636b.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://a7da02d6ee87.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://06d102b95479.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://7ce81d8d105c.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://e029c77bacaa.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://d3d7235315b1.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://aa93bc03591f.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://fbcec65f688f.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://9040b8e6bea8.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://5a2b71f87340.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://7ddeb490146f.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://07fa356d28c6.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://539e7bcf42d5.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://74ab269aefd0.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://71ssmbjqg7ezpoqt8okre7gzu.canarytokens.com/,GitHub
Callback Domains,ldap://a372a16e46fb.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://62.182.158.156:1389/ua,GitHub
Callback Domains,ldap://fbc8a1502970.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://8e1dab694af9.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://d72fe3e1e907.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://93492d02dea7.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://46c70a67acd3.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://a790ae788e85.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://cfda08bc9cf9.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://ee79e5151db6.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://b7ff69c2e4a3.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://eb90e696775b.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://424bbd495916.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://b6693b4d379f.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://9557bfb90ac9.bingsearchlib.com:39356/a,GitHub
Callback Domains,${lower:l}${lower:d}a${lower:p}://world80.log4j.bin${upper:a}ryedge.io:80/callback,GitHub
Callback Domains,http://134.209.163.248/callback/https-port-443-and-http-callback-scheme,GitHub
Callback Domains,ldap://134.209.163.248:389/callback/responder,GitHub
Callback Domains,ldap://38010d058864.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://4f82fd6de455.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://1d01d1cecd7c.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://8b51f03a2236.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldaps://f6899d95.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://8aa9ecc4.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://ac397956.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://7366dd97.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://lx-ffffb03a6743bb087e51b561000000009fced7.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://61f3457f.probe001.log4j.leakix.net:445/b,GitHub
Callback Domains,ldaps://lx-ffff50555492bb086f41b561000000005300b2.probe001.log4j.leakix.net:443/b,GitHub
